Agriculture_value_added_GDP_percentage,Primary School age Children_out_of_school,GPD_Per_Capita_Percentage,Human_Development_Index,Trade_GDP,NumberOfConflicts
-0.370826047,1.48732295,-1.071388537,-1.307591426,0.387763397,-0.234797099
-0.442546429,1.333246199,-0.488572331,-1.307591426,0.21021676,-0.234797099
0.25506227,1.230528365,-0.287703085,0.342564879,0.116257835,-0.236928935
0.359951443,1.281887282,-0.717417159,0.342564879,-0.217188512,-0.234797099
0.319902017,1.538681867,-0.345362122,0.346639339,-0.442386572,-0.236928935
-0.121899864,1.744117534,-1.855379877,0.330341499,-0.526533379,-0.225559145
-0.279475084,1.898194285,0.031897309,0.338490419,-0.581012309,-0.234797099
0.012087627,2.052271036,-0.203857011,0.342564879,-0.577599364,-0.238350159
-0.135865031,1.898194285,0.681545114,0.362937179,-0.379878366,-0.236928935
-0.055334336,1.795476451,0.682576168,0.379235019,0.110537479,-0.236218323
-0.0334699,1.898194285,0.598170658,0.387383939,0.211215671,-0.234797099
-0.137139807,1.898194285,0.429144591,0.395532859,0.102702075,-0.238350159
-0.117999211,1.949553202,0.621216316,0.403681779,-0.08145873,-0.236928935
-0.079764068,1.48732295,3.689304718,-1.307591426,0.060279554,-0.235507711
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.235507711
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.237639547
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.236218323
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.236928935
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.23906077
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.236218323
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.23906077
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.237639547
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.234086487
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.23906077
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.237639547
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.237639547
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.238350159
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.233375876
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.239771382
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.235507711
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.232665264
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.204951401
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.228401593
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.232665264
-1.081747036,-0.977905063,-0.248732113,-1.307591426,-1.169658543,-0.234797099
